species,scientificName,verbatimScientificName,decimalLatitude,decimalLongitude,day,month,year
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,55.724442,-2.176333,8,9,2022
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,50.831151,-2.587507,17,9,2022
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,50.905503,-0.284037,15,9,2022
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.507496,-0.165571,15,9,2022
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.317055,-0.47487,12,9,2022
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,55.977776,-3.521819,31,8,2021
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,56.422508,-3.366008,3,9,2022
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,53.565178,-1.467748,31,8,2022
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,53.227552,-2.87542,19,8,2022
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,53.943367,-1.080825,8,8,2022
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.603961,-2.297396,16,10,1999
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.711924,-2.269157,7,9,1997
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.901043,-1.99414,21,9,1997
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.954709,-2.256059,3,6,1988
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.712042,-2.211264,22,11,1997
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.822321,-2.224035,20,9,1998
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.732433,-1.779303,5,11,1995
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.912404,-1.927094,21,9,2008
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.552634,-2.222657,5,10,1983
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,53.002294,-2.075955,15,10,2000
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.462735,-2.222203,30,6,1982
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,53.092185,-2.076114,1,9,2002
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.462735,-2.222203,1,7,1982
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.822321,-2.224035,28,9,1997
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.552634,-2.222657,29,6,1982
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.552634,-2.222657,16,10,1994
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.462735,-2.222203,30,6,1982
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,53.002294,-2.075955,16,9,2000
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,53.092002,-1.77747,19,10,1997
