"","species","lat","lon","month","year"
"212","Calvatia gigantea",56.158423,-3.337879,9,1984
"213","Calvatia gigantea",56.235005,-2.792041,9,2000
"214","Calvatia gigantea",56.140459,-3.337255,9,1985
"215","Calvatia gigantea",56.323942,-2.923239,9,2000
"216","Calvatia gigantea",56.322344,-3.117232,9,2004
"217","Calvatia gigantea",51.734221,-4.477021,9,1985
"218","Calvatia gigantea",51.795979,-4.974272,9,1977
"219","Calvatia gigantea",57.570792,-4.178451,9,2021
"220","Calvatia gigantea",54.155656,-0.661528,9,2021
"221","Calvatia gigantea",51.677865,-0.543398,4,2022
"222","Calvatia gigantea",53.567647,-1.396254,3,2022
"223","Calvatia gigantea",53.359969,-1.325304,5,2011
"224","Calvatia gigantea",53.449848,-1.323881,12,2011
"225","Calvatia gigantea",53.449848,-1.323881,11,2014
"226","Calvatia gigantea",53.539726,-1.322451,7,2010
"227","Calvatia gigantea",53.539726,-1.322451,6,2011
"228","Calvatia gigantea",53.359969,-1.325304,8,1993
"229","Calvatia gigantea",53.448901,-1.173322,10,2005
"230","Calvatia gigantea",53.449848,-1.323881,11,2011
"231","Calvatia gigantea",50.07698,2.65974,11,2011
"232","Calvatia gigantea",50.68359,2.61254,10,2019
"233","Calvatia gigantea",50.4937,2.28843,10,1999
"234","Calvatia gigantea",50.4897,2.55226,8,2003
"235","Calvatia gigantea",50.63849,1.7083,7,1998
"236","Calvatia gigantea",50.75308,1.60733,9,1998
"237","Calvatia gigantea",50.65283,1.67705,9,1998
"238","Calvatia gigantea",50.31412,2.76166,1,2021
"239","Calvatia gigantea",52.820664,-1.333684,8,1991
"240","Calvatia gigantea",51.83179,-2.654437,10,2005
"241","Calvatia gigantea",51.91167,-0.329538,9,1990
"242","Calvatia gigantea",53.352948,-6.273697,9,1970
"243","Calvatia gigantea",51.455417,0.085569,9,1980
"244","Calvatia gigantea",51.365561,0.081484,9,1970
"245","Calvatia gigantea",52.462367,-2.369384,9,1996
"246","Calvatia gigantea",52.998361,-2.96995,9,1985
"247","Calvatia gigantea",51.353952,0.655478,9,1999
"248","Calvatia gigantea",53.006006,-7.926253,9,1989
"249","Calvatia gigantea",53.339129,-4.329487,9,1986
"250","Calvatia gigantea",51.796064,0.971471,9,1984
"251","Calvatia gigantea",51.554125,-0.486914,10,2000
"253","Calvatia gigantea",55.95859,-3.523194,9,1981
"254","Calvatia gigantea",54.416754,-4.390204,9,1981
"255","Calvatia gigantea",52.462922,-1.927836,9,1975
"256","Calvatia gigantea",53.359969,-1.325304,7,1988
"257","Calvatia gigantea",51.901986,0.251559,9,2002
"258","Calvatia gigantea",52.193217,-1.928272,9,1975
"259","Calvatia gigantea",52.459062,-2.958052,9,1990
"260","Calvatia gigantea",52.462367,-2.369384,10,1995
"262","Calvatia gigantea",51.275703,0.077419,2,1996
"263","Calvatia gigantea",51.365561,0.081484,1,1996
"264","Calvatia gigantea",53.179269,-1.178514,9,1975
"265","Calvatia gigantea",54.170191,-1.618553,9,1995
"266","Calvatia gigantea",52.78363,1.038347,9,1981
"267","Calvatia gigantea",52.189394,-2.952243,9,2003
"268","Calvatia gigantea",50.93391,-1.645607,8,1984
"269","Calvatia gigantea",54.170191,-1.618553,8,1997
"270","Calvatia gigantea",51.923499,-1.928701,9,1997
"271","Calvatia gigantea",53.16501,0.017921,7,1996
"272","Calvatia gigantea",52.1791,-0.173274,9,1981
"273","Calvatia gigantea",51.365561,0.081484,10,2000
"274","Calvatia gigantea",50.84192,-1.220223,3,1996
"275","Calvatia gigantea",50.293715,-3.615841,10,1995
"276","Calvatia gigantea",52.8173,-3.114298,9,1996
